time,c0,c1,v0,v1,i0,i1,cpu_uj,sys_uj
11045.5453432,52,5,7547000,7378000,1491000,0,39159339815,47966557503
11046.552165,52,5,7579000,7378000,1194000,0,39163578146,47970615964
11047.557986,52,5,7552000,7378000,1283000,0,39168785591,47975425400
11048.5644681,52,5,7550000,7378000,1319000,0,39171569886,47978510170
11049.576586,52,5,7589000,7378000,940000,0,39173723750,47981264679
11050.5849972,52,5,7599000,7378000,892000,0,39175715505,47983663843
11051.594286,52,5,7601000,7378000,876000,0,39177727402,47986052814
11052.6065121,52,5,7602000,7378000,854000,0,39179687297,47988367811
11053.620682,52,5,7600000,7378000,999000,0,39182538242,47991302862
11054.633311,52,5,7603000,7378000,859000,0,39184515837,47993616576
11055.643657,52,5,7599000,7378000,863000,0,39186472802,47995928216
11056.6544151,52,5,7603000,7378000,848000,0,39188416645,47998198718
11057.6644111,52,5,7602000,7378000,875000,0,39190421644,48000639752
11058.674319,52,5,7605000,7378000,847000,0,39192358224,48002916968
11059.6858001,52,5,7603000,7378000,847000,0,39194310001,48005256317
11060.693011,52,5,7599000,7378000,862000,0,39196228087,48007499964
11061.7006412,52,5,7602000,7378000,842000,0,39198139215,48009739948
11062.713191,52,5,7598000,7378000,879000,0,39200522143,48012797741
11063.7224121,52,5,7599000,7378000,936000,0,39202528791,48015242986
11064.7324312,52,5,7599000,7378000,886000,0,39204506142,48017605712
11065.7426341,52,5,7599000,7378000,861000,0,39206458835,48019924065
11066.753634,52,5,7600000,7378000,862000,0,39208418547,48022193530
11067.765255,52,5,7600000,7378000,847000,0,39210371789,48024477765
11068.774606,52,5,7601000,7378000,870000,0,39212379718,48026907080
11069.7853792,52,5,7602000,7378000,851000,0,39214329481,48029215973
11070.795419,52,5,7601000,7378000,858000,0,39216302743,48031522119
11071.8037062,52,5,7601000,7378000,849000,0,39218252628,48033786884
11072.811007,52,5,7599000,7378000,872000,0,39220330992,48036131604
11073.818917,52,5,7604000,7378000,842000,0,39222247613,48038360480
11074.8307371,52,5,7603000,7378000,844000,0,39224216053,48040676820
11075.8414891,52,5,7604000,7378000,848000,0,39226183516,48042967341
11076.852303,52,5,7604000,7378000,846000,0,39228092568,48045173512
11077.8614771,52,5,7599000,7378000,842000,0,39230047214,48047473860
11078.871278,52,5,7598000,7378000,856000,0,39232009612,48049799782
11079.88223,52,5,7602000,7378000,862000,0,39233995691,48052165621
11080.8923991,52,5,7603000,7378000,847000,0,39235939533,48054425076
11081.9026282,52,5,7604000,7378000,849000,0,39237915847,48056757345
11082.9130771,52,5,7605000,7378000,863000,0,39239966745,48059134963
11083.925483,52,5,7603000,7378000,879000,0,39242537783,48062294318
11084.937588,52,5,7600000,7378000,970000,0,39244532468,48064637513
11085.9531622,52,5,7603000,7378000,856000,0,39246472404,48066891596
11086.9635711,52,5,7604000,7378000,845000,0,39248387744,48069138539
11087.975317,52,5,7601000,7378000,847000,0,39250368268,48071473616
11088.9842961,52,5,7601000,7378000,850000,0,39252292885,48073743691
11089.995224,52,5,7599000,7378000,855000,0,39254260348,48076108126
